Station,Field Asset Name,X,Y,Z,Customer Name,Site
MNSP00USA,00871-01:1982,-278913.5273,-4524966.162,4471627.369,Swift,CONUS 1.0MidwestMNUSA001719
MNWN00USA,00871-01:2071,-451090.7468,-4602969.675,4377971.604,Swift,CONUS 1.0MidwestMNUSA001720
MNWR00USA,00871-01:2193027,-389139.0824,-4182542.654,4783852.355,Swift,CONUS 1.0MidwestMNUSA001721
MOCF00USA,00871-03:2015110006,-56069.1247,-4986443.831,3963387.607,Swift,CONUS 1.0MidwestMOUSA001722
MOJP00USA,00871-01:1964,-400989.2568,-5079767.028,3823751.848,Swift,CONUS 1.0South CentralMOUSA001723
MOMC00USA,00871-01:2193079,-211900.4582,-4906990.36,4055786.615,Swift,IntegritySouth CentralMOUSA001724
MOWB00USA,00871-01:1018828011,-324889.1701,-4969305.71,3972122.076,Swift,CONUS 1.0South CentralMOUSA001725
MSLL00USA,00871-01:1874,-83483.804,-5329225.69,3491579.268,Swift,CONUS 1.0SoutheastMSUSA001726
MSMD00USA,00871-01:2055,122389.9707,-5391381.223,3394439.261,Swift,CONUS 1.0SouthEastMSUSA001727
MSPG00USA,00871-01:1018828066,-93151.8964,-5415574.636,3356748.399,Swift,CONUS 1.0SoutheastMSUSA001728
MSPY00USA,00871-01:1018828070,30729.261,-5498814.204,3220683.612,Swift,CONUS 1.0SoutheastMSUSA001729
MTB100USA,00871-01:2065,-1467704.181,-3962476.017,4762708.638,Swift,CONUS 1.0NorthwestMTUSA001730
MTCO00USA,00871-01:2069,-1491257.667,-4221450.794,4529191.007,Swift,CONUS 1.0NorthwestMTUSA001731
MTDD00USA,00871-01:2058,-1346197.589,-4022523.456,4748117.673,Swift,CONUS 1.0NorthwestMTUSA001732
MTFH00USA,00871-01:1956,-1268001.622,-4231698.839,4586237.595,Swift,CONUS 1.0MidwestMTUSA001733
MTGC02USA,00871-02:3198209,-1219725.03,-4081753.645,4731745.678,Swift,CONUS 1.0NorthwestMTUSA001734
MTGE00USA,00871-01:1018828007,-1104871.736,-4207062.316,4650031.347,Swift,CONUS 1.0NorthwestMTUSA001735
MTGR00USA,00871-01:1018828010,-1404199.296,-4123690.353,4644583.797,Swift,CONUS 1.0NorthwestMTUSA001736
MTHN00USA,00871-01:2006,-1808566.854,-4032282.345,4585036.923,Swift,CONUS 1.0NorthwestMTUSA001737
MTHT00USA,00871-01:2078,-1646976.225,-3914853.043,4744156.034,Swift,CONUS 1.0NorthwestMTUSA001738
MTPL00USA,00871-01:1018828008,-1761604.795,-3925544.267,4693685.649,Swift,CONUS 1.0NorthwestMTUSA001739
MTPO00USA,00871-01:2059,-1111985.29,-4093024.415,4748438.739,Swift,CONUS 1.0NorthwestMTUSA001740
MTTF00USA,00871-04:633500016180216,-1617695.373,-4128573.31,4571072.515,Swift,CONUS 1.0NorthwestMTUSA001741
NBSS00CAN,00871-01:2193060,1739048.453,-4153040.146,4502428.226,Swift,CONUS 1.0CanadaNBCAN001742
NCMR00USA,00871-01:2077,721179.5978,-5136594.05,3699855.419,Swift,CONUS 1.0SoutheastNCUSA001743
NCMV00USA,00871-01:2075,875316.7176,-5157656.849,3636711.058,Swift,CONUS 1.0SoutheastNCUSA001744
NCNB00USA,00871-01:2083,1171411.525,-5090304.876,3647920.988,Swift,CONUS 1.0SoutheastNCUSA001745
NCTC00USA,00871-01:2193034,1019363.104,-5184844.954,3559999.38,Swift,CONUS 1.0SoutheastNCUSA001746
NCZB00USA,00871-01:2193035,1048767.46,-5070323.953,3712224.536,Swift,CONUS 1.0SoutheastNCUSA001747
NDDL00USA,00871-01:2068,-657165.0473,-4216668.229,4724766.866,Swift,CONUS 1.0NorthWestUSA001748
NDJT00USA,00871-01:2066,-662201.948,-4316198.673,4633938.867,Swift,CONUS 1.0NorthwestNDUSA001749
NDLB00USA,00871-01:2008,-833494.772,-4172325.036,4736341.286,Swift,CONUS 1.0NorthwestNDUSA001750
NDLS00USA,00871-01:1949,-525358.038,-4251652.837,4709730.983,Swift,CONUS 1.0NorthwestNDUSA001751
NDMN00USA,00871-01:2005,-826302.88,-4293353.374,4628914.264,Swift,CONUS 1.0NorthwestNDUSA001752
NDNN00USA,00871-01:2193021,-945911.8651,-4094157.327,4782995.781,Swift,CONUS 1.0NorthwestNDUSA001753
NEAL00USA,00871-01:2193044,-1055965.496,-4621235.132,4254770.678,Swift,CONUS 1.0NorthwestNEUSA001883
NEBT00USA,00871-01:1018828071,-572921.0509,-4840190.187,4100768.461,Swift,CONUS 1.0NorthwestNEUSA001754
NEGI00USA,00871-01:2193082,-700222.556,-4775503.868,4156388.805,Swift,CONUS 1.0NorthwestNEUSA001755
NENF00USA,00871-01:1018828079,-611944.0206,-4705251.116,4248627.859,Swift,CONUS 1.0NorthwestNEUSA001756
NENP00USA,00871-01:2193013,-898387.4725,-4726640.01,4174420.973,Swift,CONUS 1.0NorthwestNEUSA001757
NESN00USA,00871-01:1018828080,-1080352.467,-4688128.714,4175309.757,Swift,CONUS 1.0NorthwestNEUSA001758
NEVT00USA,00871-01:2193078,-857294.1315,-4602704.094,4317983.769,Swift,CONUS 1.0NorthwestNEUSA001926
NHHT00USA,00871-01:1933,1489893.307,-4426743.569,4328913.824,Swift,CONUS 1.0NorthEastNHUSA001759
NMAO00USA,00871-01:2103084,-1474222.714,-5154986.976,3445305.99,Swift,CONUS 1.0WestNMUSA001760
NMCB00USA,00871-01:1018828039,-1324827.929,-5224747.989,3400212.848,Swift,CONUS 1.0WestNMUSA001761
NMDE00USA,00871-01:1018828031,-1646744.986,-5142082.112,3386337.24,Swift,CONUS 1.0WestNMUSA001762
NMES00USA,00871-01:1018828022,-1451260.161,-5042615.258,3616901.93,Swift,CONUS 1.0WestNMUSA001763
NMGP00USA,00871-01:1018828034,-1670267.017,-4922568.669,3686833.335,Swift,CONUS 1.0WestNMUSA001764
NMRN00USA,00871-01:1018828035,-1273771.629,-4946852.819,3809823.379,Swift,CONUS 1.0WestNMUSA001765
NMRR00USA,00871-01:1018828033,-1486732.974,-4994052.114,3668655.892,Swift,CONUS 1.0WestNMUSA001766
NMTC00USA,00871-01:1955,-1586326.584,-5107082.52,3466583.527,Swift,CONUS 1.0WestNMUSA001767
NMTM00USA,00871-01:2193041,-1238581.45,-5070925.295,3654852.721,Swift,CONUS 1.0WestNMUSA001768
NVCA00USA,00871-01:2193011,-2099065.394,-4603782.507,3872416.001,Swift,CONUS 1.0WestNVUSA001769
NVEL00USA,00871-01:2028,-2079509.195,-4488382.599,4015806.834,Swift,CONUS 1.0WestNVUSA001770
NVLV00USA,00871-01:2024,-2186170.88,-4665673.124,3747673.98,Swift,CONUS 1.0WestNVUSA001771
NVMQ00USA,00871-01:1018828015,-2085099.929,-4668921.605,3800367.132,Swift,CONUS 1.0WestNVUSA001772
NVPP00USA,00871-01:1998,-2258319.537,-4632000.921,3747085.373,Swift,CONUS 1.0WestNVUSA001773
NVRO00USA,00871-01:1986,-2447982.68,-4277198.97,4037422.347,Swift,CONUS 1.0WestNVUSA001774
NVRP00USA,00871-01:2193019,-2302984.84,-4280002.912,4118327.458,Swift,CONUS 1.0WestNVUSA001775
NVTN00USA,00871-01:2033,-2301289.222,-4471702.054,3912624.624,Swift,CONUS 1.0WestNVUSA001776
NVVL00USA,00871-01:1018828014,-2205430.185,-4304606.226,4145915.537,Swift,CONUS 1.0WestNVUSA001777
NVWW00USA,00871-01:2036,-1974719.542,-4419418.043,4141453.229,Swift,CONUS 1.0WestNVUSA001778
NYAN00USA,00871-01:1936,931072.5264,-4576807.931,4329278.26,Swift,CONUS 1.0NorthEastNYUSA001779
